Cohort,Attribute
design professionals,"ls - art, architecture and photography fans"
design professionals,im - graphic designers
design professionals,im - graphic design books
design professionals,im - architecture books
design professionals,im - commercial graphic design books
design professionals,im - design & decorative arts books
design professionals,im - interior design & decoration books
design professionals,im - interior design styles & decor books
designer clothing fans,ls - premium shoppers of fashion (uk)
designer clothing fans,im - men's fashion
designer clothing fans,im - women's fashion
designer outlet shoppers,ls - premium shoppers of fashion (uk)
designer outlet shoppers,im - men's fashion
designers,im - graphic designers
designers,im - graphic design books
designers,im - commercial graphic design books
designers,im - design & decorative arts books
designers,im - interior design & decoration books
designers,im - interior design styles & decor books
desigual fans,ls - premium shoppers of fashion (uk)
desigual fans,im - women's fashion
detailed model builders,im - model building
detailed model builders,im - collectible figures & accessories
detailed model builders,im - model building kits
die-cast toy collectors,im - pretend play toys
die-cast toy collectors,im - collectible figures & memorabilia
die-cast toy collectors,im - pre-built & diecast models
die-cast toy collectors,im - collectible figures & accessories
die-cast toy collectors,im - pre-built scaled models
die-cast toy collectors,im - action figures
die-cast toy collectors,im - kids' play dinosaur & prehistoric creature figures
die-cast toy collectors,im - kids' play motor vehicles
die-cast toy collectors,im - toy vehicles
diesel car buyers,ls - diesel vehicle owners
diesel fans,im - men's jeans
dieters- food supplements,im - healthy food
dieters- food supplements,"im - vitamins, minerals and supplements"
dieters- food supplements,ls - gluten free grocery shoppers
dieters- food supplements,ls - discount shoppers of wellness supplements (uk)
dieters- food supplements,"ls - vitamins, minerals and supplements  - new to category"
dieters- food supplements,im - herbal supplements
dieters- food supplements,im - diet and nutrition
dieters- food supplements,ls - diet & nutrition - new to category
dieters- food supplements,im - protein supplements
dieters- keto,im - healthy food
dieters- keto,ls - diet & nutrition - new to category
dieters- kombucha,im - cider beverages
dieters- kombucha,im - energy drinks
dieters- kombucha,im - juices & smoothies books
dieters- paleo,im - healthy food
dieters- paleo,ls - diet & nutrition - new to category
dieters- paleo,im - nuts & seeds
dieters- weight loss,ls - healthy lifestyle
dieters- weight loss,im - healthy food
dieters- weight loss,ls - healthy lifestyle high frequency
dieters- weight loss,"ls - vitamins, minerals and supplements  - new to category"
dieters- weight loss,ls - exercise & fitness - new to category browsers
dieters- weight loss,im - health and fitness books
dieters- weight loss,im - diet and nutrition
dieters- weight loss,ls - diet & nutrition - new to category
dieters- weight loss,im - diet and sports nutrition
dieters- weight loss,im - fitness planners
digital art fans,im - other art media & techniques books
digital art fans,im - digital art books
digital content creators,ls - interested in app  - entertainment
digital content creators,im - photo & video apps
digital content creators,im - social apps
dior fans,ls - premium shoppers of fashion (uk)
dior fans,im - women's fashion
dior fans,im - luxury beauty products
diorama creators,im - model building
diorama creators,im - kids' toy figure playsets
diorama creators,im - model building kits
diorama creators,im - pre-built scaled models
distance travellers,im - travel and holiday books
distance travellers,im - travel & tourism books
distance travellers,im - travel books
diving devotees,im - water sports
diving devotees,im - swimming & diving books
diving devotees,im - action cameras
diyers,im - home and garden
diyers,im - diy & tools
diyers,im - power and hand tools
diyers,ls - frequent shoppers - diy & tools
diyers,im - power & hand tools
diyers,im - building supplies
diyers,im - hand tools
diyers,ls - home diy fans
diyers,im - building materials
diyers,im - diy and tools
diyers,"im - nails, screws & fasteners"
diyers,im - power tool accessories
diyers,im - power tools
diyers,ls - electric hand tool - new to category browsers
diyers,im - furniture hardware
diyers,im - hand screwdrivers
diyers,im - screwdriver sets
diyers,im - tool organisers
diyers,im - drills
diyers,im - spanners & wrenches
diyers,im - multitools & accessories
diyers,im - power saws
dkny fans,ls - premium shoppers of fashion (uk)
dkny fans,im - men's fashion
dkny fans,im - women's fashion
doctors and nurses,im - medicine & health sciences textbooks
doctors and nurses,im - medicine books
doctors and nurses,im - medicine textbooks
documentary fans,ls -frequent streamers of special interest & documentary
documentary fans,ls - interested in imdb biography movies & tv shows
documentary fans,ls - interested in imdb documentary movies & tv shows
documentary fans,ls - interested in imdb sport movies & tv shows
documentary fans,ls - favorite streaming genre - documentary
documentary fans,ls - interested in prime video documentary movies & tv shows
documentary fans,ls - interested in prime video historical movies & tv shows
documentary fans,ls - interested in prime video military and war movies & tv shows
documentary fans,ls - interested in prime video art house movies & tv shows
documentary fans,ls - documentary film fans
documentary fans,im - documentary films
documentary fans,im - travel documentary films
documentary fans,ls - travel documentary film fans
documentary film fans,ls - interested in imdb biography movies & tv shows
documentary film fans,ls - interested in imdb documentary movies & tv shows
documentary film fans,ls - interested in imdb sport movies & tv shows
documentary film fans,ls - favorite streaming genre - documentary
documentary film fans,ls - interested in prime video documentary movies & tv shows
documentary film fans,ls - interested in prime video historical movies & tv shows
documentary film fans,ls - interested in prime video sports movies & tv shows
documentary film fans,ls - interested in prime video military and war movies & tv shows
documentary film fans,ls - interested in prime video art house movies & tv shows
documentary film fans,ls - documentary film fans
documentary film fans,im - documentary films
documentary film fans,im - travel documentary films
documentary film fans,ls - travel documentary film fans
dog owners,im - dog supplies
dog owners,im - dog toys
dog owners,"im - collars, harnesses & leads for dogs"
dog owners,im - grooming products for dogs
dog owners,im - chew toys for dogs
dog owners,im - carriers & travel products for dogs
dog owners,ls -dog food - new to category
dog owners,im - warm coats and jackets  for dogs
dog owners,im - dog harnesses
dog owners,im - feeding & watering supplies for dogs
dolce & gabbana fans,ls - premium shoppers of fashion (uk)
